TableStart	Proposal Formats															
ColumnHeadingsStart	Humanoid	Etherean	Geodic	Cybernetik	Ichthytosian	Harvesters	Insectoid	Saurian	Metashifters	Non-Corporeal	Protoplasmic	Plant	Fungal	Avian	Gargantua	Format
12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL CLQUOT3 SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %REP %FOL SAYS2 %AMB COMSP %GER PERIOD
14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB COMSP %GER PERIOD
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL CLQUOT3 SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %REP %FOL SAYS2 %AMB SPACE %ADV PERIOD
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB SPACE %ADV PERIOD
18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL CLQUOT3 SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %REP %FOL SAYS2 %AMB PERIOD
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB PERIOD
21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SPACE %ADV SAYS4 WE3 %STY %REP %FOL CLQUOT3
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SPACE %ADV SAYS4 WE3 %STY %REP CLQUOT2
24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %ADV SPACE %GER SAYS4 WE3 %STY %REP %FOL CLQUOT3
26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %ADV SPACE %GER SAYS4 WE3 %STY %REP CLQUOT2
27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SAYS4 WE3 %STY %REP %FOL CLQUOT3
28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SAYS4 WE3 %STY %REP CLQUOT2
29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP SPACE CLQUOT %GRT WE %STY %REP %FOL CLQUOT
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP SPACE CLQUOT %GRT WE %STY %REP %FOL CLQUOT
31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP SPACE CLQUOT %GRT WE %STY %REP CLQUOT2
32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP SPACE CLQUOT %GRT WE %STY %REP CLQUOT2
33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT COMSP SPACE CLQUOT %GRT WE %STY %REP %FOL CLQUOT
34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT COMSP SPACE CLQUOT %GRT WE %STY %REP CLQUOT2
35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL CLQUOT3 SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL CLQUOT3 SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL CLQUOT3 SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL CLQUOT3 SAYS SPACE %AMB COMSP %GER PERIOD
43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP CLQUOT2 SPACE SAYS SPACE %AMB COMSP %GER PERIOD
44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL CLQUOT3 SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL SAYS2 %AMB SPACE %ADV PERIOD
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP PERIOD SAYS2 %AMB SPACE %ADV PERIOD
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL SAYS2 %AMB PERIOD
48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP %FOL SAYS2 %AMB PERIOD
49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP PERIOD SAYS2 %AMB PERIOD
50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %GRT WE %STY %REP PERIOD SAYS2 %AMB PERIOD
51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SPACE %ADV SAYS5 %GRT WE %STY %REP %FOL CLQUOT
52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SPACE %ADV SAYS5 %GRT WE %STY %REP CLQUOT2
53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SPACE %ADV SAYS5 %GRT WE %STY %REP %FOL CLQUOT
54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %ADV SPACE %GER SAYS5 %GRT WE %STY %REP %FOL CLQUOT
55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %ADV SPACE %GER SAYS5 %GRT WE %STY %REP CLQUOT2
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %ADV SPACE %GER SAYS5 %GRT WE %STY %REP CLQUOT2
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SAYS5 %GRT WE %STY %REP %FOL CLQUOT
58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP %GER SAYS5 %GRT WE %STY %REP CLQUOT2
TableEnd																
																
TableStart	Speech Formats															
ColumnHeadingsStart	Humanoid	Etherean	Geodic	Cybernetik	Ichthytosian	Harvesters	Insectoid	Saurian	Metashifters	Non-Corporeal	Protoplasmic	Plant	Fungal	Avian	Gargantua	Format
RowHeadingsStart																
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%name% THE2 %ADJ %LDR OFTHE %race% ADDR THE3 ONSUBJ %SPCH OPQUOT2 %QUOT PUBRE %RCT OPBRK %type% CHGTO %INP CLBRK
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	THE %ADJ %LDR OFTHE %race% COMSP %name% ADDR THE3 ONSUBJ %SPCH OPQUOT2 %QUOT PUBRE %RCT OPBRK %type% CHGTO %INP CLBRK
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ADDR2 THE3 PEOPLE %ADJ %name% ONSUBJ2 %SPCH OPQUOT2 %QUOT PUBRE %RCT OPBRK %type% CHGTO %INP CLBRK
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	PUBRE2 %RCT TODAY %ADJ %LDR ONSUBJ3 %SPCH %name% OPQUOT3 %QUOT OPBRK2 %type% CHGTO %INP CLBRK
TableEnd																
